🕘️更新时间,#genre#
2026-03-01 17:30:22,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?

📺央视频道,#genre#
CCTV-1,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?
CCTV-1,http://ott.mobaibox.com/PLTV/4/224/3221228581/index.m3u8
CCTV-1,http://ott.mobaibox.com/PLTV/-/224/3221227023/index.m3u8
CCTV-1,http://ott.mobaibox.com/PLTV/-/224/3221227292/index.m3u8
CCTV-1,http://ott.mobaibox.com/PLTV/-/224/3221227375/index.m3u8
CCTV-2,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8?
CCTV-2,http://ott.mobaibox.com/PLTV/3/224/3221228094/index.m3u8
CCTV-2,http://ott.mobaibox.com/PLTV/-/224/3221228300/index.m3u8
CCTV-2,http://ott.mobaibox.com/PLTV/-/224/3221226993/index.m3u8
CCTV-2,http://ott.mobaibox.com/PLTV/-/224/3221227207/index.m3u8
CCTV-3,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226471/1.m3u8?
CCTV-3,http://ott.mobaibox.com/PLTV/3/224/3221228499/index.m3u8
CCTV-3,http://ott.mobaibox.com/PLTV/-/224/3221228237/index.m3u8
CCTV-3,http://ott.mobaibox.com/PLTV/-/224/3221228392/index.m3u8
CCTV-3,http://ott.mobaibox.com/PLTV/-/224/3221225588/index.m3u8
CCTV-4,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8?
CCTV-4,http://ott.mobaibox.com/PLTV/3/224/3221228091/index.m3u8
CCTV-4,http://ott.mobaibox.com/PLTV/-/224/3221227378/index.m3u8
CCTV-4,http://ott.mobaibox.com/PLTV/-/224/3221225534/index.m3u8
CCTV-4,http://ott.mobaibox.com/PLTV/-/224/3221227658/index.m3u8
CCTV-5,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226469/1.m3u8?
CCTV-5,http://ott.mobaibox.com/PLTV/3/224/3221228502/index.m3u8
CCTV-5,http://ott.mobaibox.com/PLTV/-/224/3221228395/index.m3u8
CCTV-5,http://ott.mobaibox.com/PLTV/-/224/3221227298/index.m3u8
CCTV-5,http://ott.mobaibox.com/PLTV/-/224/3221227478/index.m3u8
CCTV-5+,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226894/1.m3u8?
CCTV-5+,http://ott.mobaibox.com/PLTV/3/224/3221228176/index.m3u8
CCTV-5+,http://ott.mobaibox.com/PLTV/-/224/3221228277/index.m3u8
CCTV-5+,http://ott.mobaibox.com/PLTV/-/224/3221227381/index.m3u8
CCTV-5+,http://ott.mobaibox.com/PLTV/-/224/3221227522/index.m3u8
CCTV-6,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226468/1.m3u8?
CCTV-6,http://ott.mobaibox.com/PLTV/3/224/3221228516/index.m3u8
CCTV-6,http://ott.mobaibox.com/PLTV/-/224/3221228280/index.m3u8
CCTV-6,http://ott.mobaibox.com/PLTV/-/224/3221228314/index.m3u8
CCTV-6,http://ott.mobaibox.com/PLTV/-/224/3221228196/index.m3u8
CCTV-7,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226946/1.m3u8?
CCTV-7,http://ott.mobaibox.com/PLTV/3/224/3221227626/index.m3u8
CCTV-7,http://ott.mobaibox.com/PLTV/-/224/3221228283/index.m3u8
CCTV-7,http://ott.mobaibox.com/PLTV/-/224/3221227314/index.m3u8
CCTV-7,http://ott.mobaibox.com/PLTV/-/224/3221225546/index.m3u8
CCTV-8,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226485/1.m3u8?
CCTV-8,http://ott.mobaibox.com/PLTV/3/224/3221228578/index.m3u8
CCTV-8,http://ott.mobaibox.com/PLTV/-/224/3221228398/index.m3u8
CCTV-8,http://ott.mobaibox.com/PLTV/-/224/3221227304/index.m3u8
CCTV-8,http://ott.mobaibox.com/PLTV/-/224/3221227204/index.m3u8
CCTV-9,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226944/1.m3u8?
CCTV-9,http://ott.mobaibox.com/PLTV/3/224/3221227614/index.m3u8
CCTV-9,http://ott.mobaibox.com/PLTV/-/224/3221228303/index.m3u8
CCTV-9,http://ott.mobaibox.com/PLTV/-/224/3221225532/index.m3u8
CCTV-9,http://ott.mobaibox.com/PLTV/-/224/3221227659/index.m3u8
CCTV-10,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226937/1.m3u8?
CCTV-10,http://ott.mobaibox.com/PLTV/3/224/3221227620/index.m3u8
CCTV-10,http://ott.mobaibox.com/PLTV/-/224/3221228286/index.m3u8
CCTV-10,http://ott.mobaibox.com/PLTV/-/224/3221227317/index.m3u8
CCTV-10,http://ott.mobaibox.com/PLTV/-/224/3221225550/index.m3u8
CCTV-11,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226334/1.m3u8?
CCTV-11,http://ott.mobaibox.com/PLTV/3/224/3221227720/index.m3u8
CCTV-11,http://ott.mobaibox.com/PLTV/-/224/3221228289/index.m3u8
CCTV-11,http://ott.mobaibox.com/PLTV/-/224/3221227524/index.m3u8
CCTV-11,http://ott.mobaibox.com/PLTV/-/224/3221227384/index.m3u8
CCTV-12,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226942/1.m3u8?
CCTV-12,http://ott.mobaibox.com/PLTV/3/224/3221227637/index.m3u8
CCTV-12,http://ott.mobaibox.com/PLTV/-/224/3221228401/index.m3u8
CCTV-12,http://ott.mobaibox.com/PLTV/-/224/3221225556/index.m3u8
CCTV-12,http://ott.mobaibox.com/PLTV/-/224/3221227655/index.m3u8
CCTV-13,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226316/1.m3u8?
CCTV-13,http://ott.mobaibox.com/PLTV/3/224/3221228224/index.m3u8
CCTV-13,http://ott.mobaibox.com/PLTV/-/224/3221228121/index.m3u8
CCTV-13,http://ott.mobaibox.com/PLTV/-/224/3221225560/index.m3u8
CCTV-13,http://ott.mobaibox.com/PLTV/-/224/3221227387/index.m3u8
CCTV-14,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226947/1.m3u8?
CCTV-14,http://ott.mobaibox.com/PLTV/3/224/3221227693/index.m3u8
CCTV-14,http://ott.mobaibox.com/PLTV/-/224/3221228292/index.m3u8
CCTV-14,http://ott.mobaibox.com/PLTV/-/224/3221227201/index.m3u8
CCTV-14,http://ott.mobaibox.com/PLTV/-/224/3221227656/index.m3u8
CCTV-15,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8?
CCTV-15,http://ott.mobaibox.com/PLTV/3/224/3221227723/index.m3u8
CCTV-15,http://ott.mobaibox.com/PLTV/-/224/3221225817/index.m3u8
CCTV-15,http://ott.mobaibox.com/PLTV/-/224/3221228404/index.m3u8
CCTV-15,http://ott.mobaibox.com/PLTV/-/224/3221227538/index.m3u8
CCTV-16,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221227002/1.m3u8?
CCTV-16,http://ott.mobaibox.com/PLTV/3/224/3221228168/index.m3u8
CCTV-16,http://ott.mobaibox.com/PLTV/-/224/3221228320/index.m3u8
CCTV-16,http://ott.mobaibox.com/PLTV/-/224/3221228144/index.m3u8
CCTV-16,http://ott.mobaibox.com/PLTV/-/224/3221228112/index.m3u8
CCTV-17,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8?
CCTV-17,http://ott.mobaibox.com/PLTV/3/224/3221227592/index.m3u8
CCTV-17,http://ott.mobaibox.com/PLTV/-/224/3221228407/index.m3u8
CCTV-17,http://ott.mobaibox.com/PLTV/-/224/3221227639/index.m3u8
CCTV-17,http://ott.mobaibox.com/PLTV/-/224/3221227578/index.m3u8
CETV-1,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226494/1.m3u8?
CETV-1,http://ott.mobaibox.com/PLTV/-/224/3221225909/index.m3u8
CETV-1,http://ott.mobaibox.com/PLTV/-/224/3221227560/index.m3u8
CETV-1,http://ott.mobaibox.com/PLTV/-/224/3221227657/index.m3u8
CETV-1,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228285/42329224.smil/index.m3u8?fmt=ts2hls
CETV-2,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226537/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E7AxXs4eTU2oiWrhopr9sHw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNxsM0Bor098BJglrhfEQTl%2CEND
CETV-2,http://ott.mobaibox.com/PLTV/-/224/3221227607/index.m3u8
CETV-2,http://ott.mobaibox.com/PLTV/-/224/3221225850/index.m3u8
CETV-2,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221233746/482524877.smil/index.m3u8?fmt=ts2hls
CETV-2,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226170/index.m3u8
CETV-3,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226577/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EhE2Z89HKgsQOlN9opVn1iw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNN03yUnk4zBVk1bynPPL3hZ%2CEND
CETV-3,http://bak.dou.ddns-ip.net/api.php?n=tttt&id=qsiHIB&tk=VQMEmbls8KcZ
CETV-3,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001309/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CETV-3,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001309/index.m3u8
CETV-3,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226722/1.m3u8
CETV-4,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226997/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EAw_OvjRgJVjtlaOa0dcgzg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CETV-4,http://ott.mobaibox.com/PLTV/-/224/3221227028/index.m3u8
CETV-4,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221235543/749245473.smil/index.m3u8?fmt=ts2hls
CETV-4,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226940/index.m3u8
CETV-4,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227200/1.m3u8

💰央视付费频道,#genre#
文化精品,https://hls-gateway.vpstv.net/streams/708832.m3u8
文化精品,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-WENHUA-CQ
文化精品,http://www.qfly9236.cn:8888/rtp/239.253.92.25:6104
央视台球,https://epg.pw/stream/ca9c1cd4b97fb824cedd7fedfd0c7a950afdd7f00751cfbb7c2d89831d7746a5.m3u8
央视台球,https://epg.pw/stream/25677ac2e8c1f7c3dd6359c43eb5f0f54efb3f5c11f9dda18d01b3e0308ed017.m3u8
央视台球,http://www.qfly9236.cn:8888/rtp/239.253.93.231:6409
央视台球,https://hls-gateway.vpstv.net/streams/708855.m3u8
风云音乐,https://hls-gateway.vpstv.net/streams/708858.m3u8
风云音乐,http://iptv.666230.xyz/iptv/jsyd.php/G_FENGYUNYY-CQ
