分类: 📺央视频道, 名称: CCTV-1, 总数: 113, 有效: 5, 有效率: 4.42%, IPv4: 110, IPv6: 3, 最小延迟: 449 ms, 最高速率: 1.15 M/s, 平均速率: 0.72 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.92, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-2, 总数: 79, 有效: 5, 有效率: 6.33%, IPv4: 75, IPv6: 4, 最小延迟: 14 ms, 最高速率: 1.01 M/s, 平均速率: 0.68 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-3, 总数: 76, 有效: 3, 有效率: 3.95%, IPv4: 72, IPv6: 4, 最小延迟: 7 ms, 最高速率: 1.16 M/s, 平均速率: 0.82 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.41, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-4, 总数: 77, 有效: 3, 有效率: 3.90%, IPv4: 75, IPv6: 2, 最小延迟: 7 ms, 最高速率: 1.11 M/s, 平均速率: 0.74 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-5, 总数: 76, 有效: 3, 有效率: 3.95%, IPv4: 73, IPv6: 3, 最小延迟: 444 ms, 最高速率: 1.18 M/s, 平均速率: 0.85 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.92, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-5+, 总数: 63, 有效: 6, 有效率: 9.52%, IPv4: 61, IPv6: 2, 最小延迟: 443 ms, 最高速率: 1.47 M/s, 平均速率: 0.92 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.14, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-6, 总数: 72, 有效: 4, 有效率: 5.56%, IPv4: 69, IPv6: 3, 最小延迟: 444 ms, 最高速率: 1.62 M/s, 平均速率: 0.90 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.26, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-7, 总数: 69, 有效: 8, 有效率: 11.59%, IPv4: 67, IPv6: 2, 最小延迟: 443 ms, 最高速率: 1.62 M/s, 平均速率: 0.86 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.72, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-8, 总数: 72, 有效: 7, 有效率: 9.72%, IPv4: 68, IPv6: 4, 最小延迟: 436 ms, 最高速率: 1.29 M/s, 平均速率: 0.71 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-9, 总数: 67, 有效: 3, 有效率: 4.48%, IPv4: 64, IPv6: 3, 最小延迟: 444 ms, 最高速率: 0.95 M/s, 平均速率: 0.73 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-10, 总数: 74, 有效: 10, 有效率: 13.51%, IPv4: 72, IPv6: 2, 最小延迟: 439 ms, 最高速率: 1.50 M/s, 平均速率: 0.80 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-11, 总数: 67, 有效: 3, 有效率: 4.48%, IPv4: 64, IPv6: 3, 最小延迟: 435 ms, 最高速率: 1.02 M/s, 平均速率: 0.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.92, 视频编解码器: h264, 音频编解码器: mp2
