🕘️更新时间,#genre#
2026-03-01 17:30:22,http://106.87.49.42:8888/rtp/235.254.198.51:1480

📺央视频道,#genre#
CCTV-1,http://106.87.49.42:8888/rtp/235.254.198.51:1480
CCTV-1,http://115.171.80.124:1688/rtp/225.1.8.1:8008
CCTV-1,http://114.238.59.184:4000/rtp/239.49.8.19:9614
CCTV-1,http://113.251.74.76:8012/rtp/235.254.198.51:1480
CCTV-1,http://124.114.102.12:6789/rtp/239.112.205.59:5140
CCTV-2,http://115.171.216.58:4000/rtp/225.1.8.2:8084
CCTV-2,http://114.238.59.184:4000/rtp/239.49.8.50:9802
CCTV-2,http://171.119.206.205:6000/rtp/226.0.2.154:9144
CCTV-2,http://114.238.59.184:4000/rtp/239.49.8.130:6000
CCTV-2,http://60.4.29.183:8077/rtp/239.253.92.190:6065
CCTV-3,http://60.4.29.183:8077/rtp/239.253.92.191:6057
CCTV-3,http://115.171.216.58:4000/rtp/225.1.8.88:8000
CCTV-3,http://144.255.16.170:6688/udp/239.21.2.45:5002
CCTV-3,http://220.176.218.24:9000/udp/239.252.219.252:5140
CCTV-3,http://171.8.169.205:8800/rtp/239.16.20.3:10030
CCTV-4,http://115.171.216.58:4000/rtp/225.1.8.4:8092
CCTV-4,http://60.4.29.183:8077/rtp/239.253.92.251:6141
CCTV-4,http://220.176.218.24:9000/udp/239.252.220.184:5140
CCTV-4,http://223.198.240.7:4000/rtp/239.253.64.196:5140
CCTV-4,http://123.118.50.8:8686/rtp/239.3.1.105:8092
CCTV-5,http://115.171.216.58:4000/rtp/225.1.8.89:8000
CCTV-5,http://183.236.43.98:4013/udp/239.77.0.170:5146
CCTV-5,http://220.176.218.24:9000/udp/239.252.219.198:5140
CCTV-5,http://220.176.218.24:9000/udp/239.252.219.236:5140
CCTV-5,http://60.4.29.183:8077/rtp/239.253.92.181:6046
CCTV-5+,http://1.192.240.99:8188/rtp/239.16.20.5:10050
CCTV-5+,http://220.176.218.24:9000/udp/239.252.219.72:5140
CCTV-5+,http://114.238.59.184:4000/rtp/239.49.8.18:9610
CCTV-5+,http://106.116.127.35:4022/rtp/239.254.200.46:8004
CCTV-5+,http://183.236.43.98:4013/udp/239.77.0.87:5146
CCTV-6,http://220.176.218.24:9000/udp/239.252.220.195:5140
CCTV-6,http://171.8.169.205:8800/rtp/239.16.20.6:10060
CCTV-6,http://220.176.218.24:9000/udp/239.252.219.237:5140
CCTV-6,http://211.158.35.157:8888/udp/225.0.4.144:7980
CCTV-6,http://60.4.29.183:8077/rtp/239.253.92.193:6058
CCTV-7,http://115.171.216.58:4000/rtp/225.1.8.7:8104
CCTV-7,http://115.171.80.124:1688/rtp/225.1.8.7:8104
CCTV-7,http://220.176.218.24:9000/udp/239.252.220.185:5140
CCTV-7,http://144.255.16.170:6688/udp/239.21.1.152:5002
CCTV-7,http://124.114.102.12:6789/rtp/239.112.205.83:5140
CCTV-8,http://60.4.29.183:8077/rtp/239.253.92.195:6060
CCTV-8,http://183.236.43.98:4013/udp/239.77.0.172:5146
CCTV-8,http://220.176.218.24:9000/udp/239.252.220.196:5140
CCTV-8,http://115.171.216.84:4000/rtp/225.1.8.85:8000
CCTV-8,http://1.192.240.99:8188/rtp/239.16.20.8:10080
CCTV-9,http://1.192.240.99:8188/rtp/239.16.20.9:10090
CCTV-9,http://60.4.29.183:8077/rtp/239.253.92.107:6020
CCTV-9,http://171.8.169.205:8800/rtp/239.16.20.9:10090
CCTV-9,http://106.116.127.35:4022/rtp/239.254.200.59:8112
CCTV-9,http://123.118.54.253:8686/rtp/239.3.1.62:8112
CCTV-10,http://114.238.59.184:4000/rtp/239.49.8.134:6000
CCTV-10,http://220.176.218.24:9000/udp/239.252.220.91:5140
CCTV-10,http://60.4.29.183:8077/rtp/239.253.92.196:6061
CCTV-10,http://123.118.54.253:8686/rtp/239.3.1.63:8116
CCTV-10,http://144.255.16.170:6688/udp/239.21.1.155:5002
CCTV-11,http://171.8.84.159:8800/rtp/239.16.20.11:10110
CCTV-11,http://183.236.43.98:4013/udp/239.77.1.238:5146
CCTV-11,http://1.192.240.99:8188/rtp/239.16.20.11:10110
CCTV-11,http://220.176.218.24:9000/udp/239.252.219.78:5140
CCTV-11,http://60.4.29.183:8077/rtp/239.253.93.153:6321
CCTV-12,http://114.238.59.184:4000/rtp/239.49.8.135:6000
CCTV-12,http://171.8.169.205:8800/rtp/239.16.20.12:10120
CCTV-12,http://183.236.43.98:4013/udp/239.77.0.136:5146
CCTV-12,http://106.116.127.35:4022/rtp/239.254.200.161:6000
CCTV-12,http://220.176.218.24:9000/udp/239.252.220.187:5140
CCTV-13,http://115.171.80.124:1688/rtp/225.1.8.168:8130
CCTV-13,http://60.4.29.183:8077/rtp/239.253.92.13:8008
CCTV-13,http://183.236.43.98:4013/udp/239.253.43.196:5146
CCTV-13,http://123.118.54.253:8686/rtp/239.3.1.124:8128
CCTV-13,http://111.127.156.214:51234/rtp/239.29.1.123:5000
CCTV-14,http://1.192.240.99:8188/rtp/239.16.20.14:10140
CCTV-14,http://60.4.29.183:8077/rtp/239.253.92.198:6063
CCTV-14,http://114.238.59.184:4000/rtp/239.49.8.136:6000
CCTV-14,http://114.238.59.184:4000/rtp/239.49.8.56:9826
CCTV-14,http://115.171.216.58:4000/rtp/225.1.8.14:8132
CCTV-15,http://115.171.216.58:4000/rtp/225.1.8.74:8136
CCTV-15,http://115.171.80.124:1688/rtp/225.1.8.74:8136
CCTV-15,http://60.4.29.183:8077/rtp/239.253.93.154:6322
CCTV-15,http://118.251.19.239:8188/udp/239.76.252.252:9000
CCTV-15,http://124.114.102.12:6789/rtp/239.112.205.214:5140
CCTV-16,http://111.127.156.214:51234/rtp/239.29.1.146:5000
CCTV-16,http://183.236.43.98:4013/udp/239.77.0.165:5146
CCTV-16,http://171.119.206.205:6000/rtp/226.0.2.169:9264
CCTV-16,http://125.108.127.198:7778/udp/233.50.201.192:5140
CCTV-16,http://112.109.206.44:9999/rtp/239.255.40.194:8208
CCTV-17,http://183.236.43.98:4013/udp/239.77.1.121:5146
